Id,Label
1,cachorro
2,automovel
3,veado
4,navio
5,aviao
6,gato
7,navio
8,cavalo
9,veado
10,automovel
11,veado
12,passaro
13,cachorro
14,cachorro
15,aviao
16,sapo
17,passaro
18,passaro
19,passaro
20,caminhao
21,gato
22,aviao
23,caminhao
24,automovel
25,passaro
26,passaro
27,sapo
28,automovel
29,cavalo
30,automovel
31,passaro
32,cachorro
33,cachorro
34,aviao
35,cachorro
36,cavalo
37,passaro
38,aviao
39,cachorro
40,automovel
41,cavalo
42,cavalo
43,passaro
44,caminhao
45,cachorro
46,veado
47,gato
48,passaro
49,cavalo
50,sapo
51,gato
52,cavalo
53,navio
54,navio
55,sapo
56,cachorro
57,sapo
58,gato
59,caminhao
60,cavalo
61,passaro
62,cachorro
63,aviao
64,passaro
65,caminhao
66,navio
67,caminhao
68,navio
69,aviao
70,cachorro
71,sapo
72,cachorro
73,automovel
74,caminhao
75,automovel
76,cachorro
77,sapo
78,gato
79,automovel
80,gato
81,automovel
82,cachorro
83,cachorro
84,cavalo
85,aviao
86,aviao
87,veado
88,aviao
89,gato
90,passaro
91,gato
92,aviao
93,cavalo
94,cachorro
95,navio
96,navio
97,sapo
98,navio
99,cachorro
100,cachorro
101,aviao
102,veado
103,aviao
104,automovel
105,automovel
106,sapo
107,navio
108,aviao
109,caminhao
110,aviao
111,cachorro
112,aviao
113,veado
114,cavalo
115,automovel
116,sapo
117,gato
118,gato
119,navio
120,automovel
121,caminhao
122,cavalo
123,navio
124,caminhao
125,cavalo
126,sapo
127,cavalo
128,passaro
129,gato
130,passaro
131,aviao
132,veado
133,cavalo
134,veado
135,aviao
136,cavalo
137,cachorro
138,gato
139,sapo
140,automovel
141,cachorro
142,sapo
143,automovel
144,veado
145,caminhao
146,cavalo
147,gato
148,navio
149,navio
150,cavalo
151,caminhao
152,aviao
153,cavalo
154,aviao
155,cavalo
156,navio
157,passaro
158,caminhao
159,cachorro
160,aviao
161,caminhao
162,caminhao
163,aviao
164,cavalo
165,cavalo
166,gato
167,veado
168,cachorro
169,veado
170,gato
171,gato
172,caminhao
173,veado
174,passaro
175,automovel
176,navio
177,automovel
178,cavalo
179,caminhao
180,aviao
181,cachorro
182,passaro
183,cachorro
184,passaro
185,cachorro
186,cachorro
187,aviao
188,cavalo
189,cachorro
190,sapo
191,cachorro
192,cavalo
193,automovel
194,cachorro
195,automovel
196,cavalo
197,cachorro
198,gato
199,navio
200,veado
201,passaro
202,cavalo
203,automovel
204,gato
205,navio
206,caminhao
207,navio
208,cachorro
209,automovel
210,cachorro
211,automovel
212,cachorro
213,gato
214,aviao
215,navio
216,cachorro
217,cachorro
218,navio
219,navio
220,cavalo
221,cachorro
222,navio
223,cavalo
224,cavalo
225,cavalo
226,automovel
227,cavalo
228,automovel
229,cachorro
230,passaro
231,gato
232,sapo
233,passaro
234,gato
235,cavalo
236,cavalo
237,caminhao
238,passaro
239,aviao
240,veado
241,passaro
242,cavalo
243,aviao
244,sapo
245,aviao
246,automovel
247,aviao
248,navio
249,caminhao
250,caminhao
251,veado
252,aviao
253,gato
254,veado
255,passaro
256,veado
257,veado
